CLIProxyAPI Version: dev, Commit: none, BuiltAt: unknown
[2026-01-12 10:15:50] [--------] [info ] [main.go:413] CLIProxyAPI Version: dev, Commit: none, BuiltAt: unknown
[2026-01-12 10:15:50] [--------] [info ] [util.go:70] log level changed from info to debug (debug=true)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)
[2026-01-12 10:15:50] [--------] [debug] [reconcile.go:159] auth providers unchanged after config update
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /management.html          --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).serveManagementControlPanel-fm (5 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /v1/models                --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.(*Server).unifiedModelsHandler.func8 (6 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /v1/chat/completions      --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/openai.(*OpenAIAPIHandler).ChatCompletions-fm (6 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /v1/completions           --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/openai.(*OpenAIAPIHandler).Completions-fm (6 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /v1/messages              --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/claude.(*ClaudeCodeAPIHandler).ClaudeMessages-fm (6 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /v1/messages/count_tokens --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/claude.(*ClaudeCodeAPIHandler).ClaudeCountTokens-fm (6 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /v1/responses             --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/openai.(*OpenAIResponsesAPIHandler).Responses-fm (6 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /v1beta/models            --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiAPIHandler).GeminiModels-fm (6 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /v1beta/models/*action    --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiAPIHandler).GeminiHandler-fm (6 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /v1beta/models/*action    --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiAPIHandler).GeminiGetHandler-fm (6 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /                         --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func1 (5 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /v1internal:method        --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiCLIAPIHandler).CLIHandler-fm (5 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /anthropic/callback       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func2 (5 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /codex/callback           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func3 (5 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /google/callback          --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func4 (5 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /iflow/callback           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func5 (5 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /antigravity/callback     --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func6 (5 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/provider/:provider/models --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.func2 (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/provider/:provider/chat/completions --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func5 (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/provider/:provider/completions --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func6 (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/provider/:provider/responses --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func7 (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/provider/:provider/v1/models --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.func2 (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/provider/:provider/v1/chat/completions --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func8 (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/provider/:provider/v1/completions --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func9 (7 handlers)
